benchmark,run,result
logical-operators,baseline,missing
logical-operators,lvn,missing
clobber-arg,baseline,3
clobber-arg,lvn,3
fold-comparisons,baseline,missing
fold-comparisons,lvn,missing
nonlocal-clobber,baseline,4
nonlocal-clobber,lvn,4
redundant,baseline,6
redundant,lvn,5
nonlocal,baseline,7
nonlocal,lvn,7
redundant-dce,baseline,6
redundant-dce,lvn,5
commute,baseline,6
commute,lvn,5
divide-by-zero,baseline,missing
divide-by-zero,lvn,missing
idchain,baseline,5
idchain,lvn,3
reassign,baseline,3
reassign,lvn,2
idchain-prop,baseline,5
idchain-prop,lvn,3
idchain-nonlocal,baseline,6
idchain-nonlocal,lvn,5
clobber-fold,baseline,10
clobber-fold,lvn,5
clobber,baseline,10
clobber,lvn,5
rename-fold,baseline,7
rename-fold,lvn,7
